sample_name,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,fasta,bam,qc_pass
d3b63736-dbc8-4357-996b-c03711025b50,4.85,95.11,15851,39676,ERR5471321_barcode001.consensus.fasta,ERR5471321_barcode001.primertrimmed.rg.sorted.bam,TRUE
dd880c26-8d4c-490f-8ce4-44f4b3b5b2d1,1.40,98.60,21850,44140,ERR5471324_barcode002.consensus.fasta,ERR5471324_barcode002.primertrimmed.rg.sorted.bam,TRUE
657efbe6-1acf-4b30-9e3f-7978b36b9000,0.40,99.60,29783,63806,ERR5471326_barcode003.consensus.fasta,ERR5471326_barcode003.primertrimmed.rg.sorted.bam,TRUE
46c9812f-450d-4d93-8fe7-7a9cd2b65ffb,0.40,99.60,29764,78878,ERR5471328_barcode004.consensus.fasta,ERR5471328_barcode004.primertrimmed.rg.sorted.bam,TRUE
0ae95b08-fa09-43e7-9279-ee78d199561a,0.40,99.57,29764,39831,ERR5471334_barcode005.consensus.fasta,ERR5471334_barcode005.primertrimmed.rg.sorted.bam,TRUE
23507eed-7126-4da8-a27f-d92db600e33b,0.40,99.59,29764,38585,ERR5471335_barcode006.consensus.fasta,ERR5471335_barcode006.primertrimmed.rg.sorted.bam,TRUE
604e5e8a-295b-4708-90dc-a0840e8ed77b,4.78,95.22,7618,37210,ERR5471354_barcode007.consensus.fasta,ERR5471354_barcode007.primertrimmed.rg.sorted.bam,TRUE
d814faa1-5e74-4fc5-b271-f90e4d253dce,0.40,99.59,29764,55779,ERR5471355_barcode008.consensus.fasta,ERR5471355_barcode008.primertrimmed.rg.sorted.bam,TRUE
aad0d56b-1b66-48dd-af55-99eaa7094daa,0.40,99.58,29764,53952,ERR5471359_barcode009.consensus.fasta,ERR5471359_barcode009.primertrimmed.rg.sorted.bam,TRUE
1e95956e-803d-42fd-9262-dfede1ba4a00,1.39,98.61,19213,39895,ERR5471428_barcode010.consensus.fasta,ERR5471428_barcode010.primertrimmed.rg.sorted.bam,TRUE
9a9fb21f-0241-464c-bab2-8ecb1081ca79,0.40,99.60,29783,37598,ERR5471441_barcode011.consensus.fasta,ERR5471441_barcode011.primertrimmed.rg.sorted.bam,TRUE
d1ec5c64-60e8-4600-b362-d27a7aaaa57d,0.40,99.60,29764,92870,ERR5471445_barcode012.consensus.fasta,ERR5471445_barcode012.primertrimmed.rg.sorted.bam,TRUE
93848d79-08e4-44f5-89d3-1d60fde45a7f,0.40,99.60,29764,90166,ERR5471449_barcode013.consensus.fasta,ERR5471449_barcode013.primertrimmed.rg.sorted.bam,TRUE
edd7dc4a-abb4-4131-9c9c-c89ef269b2e6,0.40,99.60,29764,96733,ERR5471452_barcode014.consensus.fasta,ERR5471452_barcode014.primertrimmed.rg.sorted.bam,TRUE
ee4f9127-757c-4cf9-9cac-7c4b5004e0d6,1.40,98.60,27440,92935,ERR5471457_barcode015.consensus.fasta,ERR5471457_barcode015.primertrimmed.rg.sorted.bam,TRUE
cda4f040-1f19-4e24-a473-b8f9f80b9dec,7.98,92.00,11299,35401,ERR5471459_barcode016.consensus.fasta,ERR5471459_barcode016.primertrimmed.rg.sorted.bam,TRUE
289e813e-97ab-4acd-b9bc-2d2bd4206be2,0.40,99.60,29764,80895,ERR5471464_barcode017.consensus.fasta,ERR5471464_barcode017.primertrimmed.rg.sorted.bam,TRUE
09be8930-7c08-4087-9041-609486debe74,0.40,99.60,29764,90635,ERR5471465_barcode018.consensus.fasta,ERR5471465_barcode018.primertrimmed.rg.sorted.bam,TRUE
2ebdb5cd-e31d-450f-b84d-667c1bf46b70,1.40,98.60,27440,93486,ERR5471470_barcode019.consensus.fasta,ERR5471470_barcode019.primertrimmed.rg.sorted.bam,TRUE
7541e86c-0767-4368-a1d4-12e7d89f97ce,0.40,99.60,29764,70704,ERR5471473_barcode020.consensus.fasta,ERR5471473_barcode020.primertrimmed.rg.sorted.bam,TRUE
0de46a02-8d9a-47bf-9cdc-deb1043e8999,0.40,99.60,29764,90890,ERR5471477_barcode021.consensus.fasta,ERR5471477_barcode021.primertrimmed.rg.sorted.bam,TRUE
149a3303-1635-4e03-8f22-0c0dd63a9418,6.73,93.27,9464,49489,ERR5471484_barcode022.consensus.fasta,ERR5471484_barcode022.primertrimmed.rg.sorted.bam,TRUE
798aa7bb-1d19-4dce-95ed-a6eced547300,0.40,99.60,29764,81513,ERR5471489_barcode023.consensus.fasta,ERR5471489_barcode023.primertrimmed.rg.sorted.bam,TRUE
6df0f42a-f57e-4b11-ba36-d2251f8ae5de,1.53,98.39,15851,38645,ERR5471493_barcode024.consensus.fasta,ERR5471493_barcode024.primertrimmed.rg.sorted.bam,TRUE
6d489616-4dff-499d-b535-6016052e6a27,5.93,94.07,11299,48877,ERR5471499_barcode025.consensus.fasta,ERR5471499_barcode025.primertrimmed.rg.sorted.bam,TRUE
c3b266b7-7931-403e-be9a-ca3ae90cb317,8.36,91.58,9765,10393,ERR5471506_barcode026.consensus.fasta,ERR5471506_barcode026.primertrimmed.rg.sorted.bam,TRUE
e1325ae4-6edf-4282-891d-11c1705460dd,0.40,99.59,29764,52549,ERR5471598_barcode027.consensus.fasta,ERR5471598_barcode027.primertrimmed.rg.sorted.bam,TRUE
