sample_name,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,fasta,bam,qc_pass
ERR5465776,0.16,99.80,29803,2561174,ERR5465776.primertrimmed.consensus.fa,ERR5465776.mapped.primertrimmed.sorted.bam,TRUE
ERR5465779,0.15,99.83,29808,2824421,ERR5465779.primertrimmed.consensus.fa,ERR5465779.mapped.primertrimmed.sorted.bam,TRUE
ERR5465780,0.15,99.82,29808,2032157,ERR5465780.primertrimmed.consensus.fa,ERR5465780.mapped.primertrimmed.sorted.bam,TRUE
ERR5465785,0.20,99.75,29793,1819090,ERR5465785.primertrimmed.consensus.fa,ERR5465785.mapped.primertrimmed.sorted.bam,TRUE
ERR5465787,0.28,99.69,29802,1698616,ERR5465787.primertrimmed.consensus.fa,ERR5465787.mapped.primertrimmed.sorted.bam,TRUE
ERR5465789,0.13,99.85,29816,2186397,ERR5465789.primertrimmed.consensus.fa,ERR5465789.mapped.primertrimmed.sorted.bam,TRUE
ERR5466036,0.23,99.72,29814,1488366,ERR5466036.primertrimmed.consensus.fa,ERR5466036.mapped.primertrimmed.sorted.bam,TRUE
ERR5466039,0.17,99.81,29802,3022225,ERR5466039.primertrimmed.consensus.fa,ERR5466039.mapped.primertrimmed.sorted.bam,TRUE
ERR5466041,0.32,99.65,29788,1666543,ERR5466041.primertrimmed.consensus.fa,ERR5466041.mapped.primertrimmed.sorted.bam,TRUE
ERR5466043,0.20,99.76,29791,2075776,ERR5466043.primertrimmed.consensus.fa,ERR5466043.mapped.primertrimmed.sorted.bam,TRUE
ERR7150135,0.69,99.31,22762,822885,ERR7150135.primertrimmed.consensus.fa,ERR7150135.mapped.primertrimmed.sorted.bam,TRUE
ERR7150141,0.39,99.59,22761,411014,ERR7150141.primertrimmed.consensus.fa,ERR7150141.mapped.primertrimmed.sorted.bam,TRUE
ERR7150151,1.71,98.27,21604,265622,ERR7150151.primertrimmed.consensus.fa,ERR7150151.mapped.primertrimmed.sorted.bam,TRUE
ERR7150152,0.74,99.24,22762,804298,ERR7150152.primertrimmed.consensus.fa,ERR7150152.mapped.primertrimmed.sorted.bam,TRUE
ERR7150154,0.98,99.03,18346,346164,ERR7150154.primertrimmed.consensus.fa,ERR7150154.mapped.primertrimmed.sorted.bam,TRUE
ERR7150243,2.44,97.49,10310,274102,ERR7150243.primertrimmed.consensus.fa,ERR7150243.mapped.primertrimmed.sorted.bam,TRUE
ERR7150384,2.05,97.92,21663,97882,ERR7150384.primertrimmed.consensus.fa,ERR7150384.mapped.primertrimmed.sorted.bam,TRUE
ERR7150388,5.45,94.55,10332,664957,ERR7150388.primertrimmed.consensus.fa,ERR7150388.mapped.primertrimmed.sorted.bam,TRUE
ERR7150390,2.58,97.41,11674,485980,ERR7150390.primertrimmed.consensus.fa,ERR7150390.mapped.primertrimmed.sorted.bam,TRUE
ERR7150391,0.34,99.65,22762,485294,ERR7150391.primertrimmed.consensus.fa,ERR7150391.mapped.primertrimmed.sorted.bam,TRUE
ERR8269258,0.29,99.66,29786,3966584,ERR8269258.primertrimmed.consensus.fa,ERR8269258.mapped.primertrimmed.sorted.bam,TRUE
ERR8269259,0.27,99.67,29787,3415002,ERR8269259.primertrimmed.consensus.fa,ERR8269259.mapped.primertrimmed.sorted.bam,TRUE
ERR8269260,0.23,99.72,29804,3871324,ERR8269260.primertrimmed.consensus.fa,ERR8269260.mapped.primertrimmed.sorted.bam,TRUE
ERR8269268,4.78,95.11,7277,654023,ERR8269268.primertrimmed.consensus.fa,ERR8269268.mapped.primertrimmed.sorted.bam,TRUE
ERR8269269,0.28,99.68,29789,5334954,ERR8269269.primertrimmed.consensus.fa,ERR8269269.mapped.primertrimmed.sorted.bam,TRUE
ERR8269276,0.46,99.51,19500,2361460,ERR8269276.primertrimmed.consensus.fa,ERR8269276.mapped.primertrimmed.sorted.bam,TRUE
ERR8269277,1.91,98.02,9730,1216708,ERR8269277.primertrimmed.consensus.fa,ERR8269277.mapped.primertrimmed.sorted.bam,TRUE
ERR8269541,0.30,99.65,29783,3207064,ERR8269541.primertrimmed.consensus.fa,ERR8269541.mapped.primertrimmed.sorted.bam,TRUE
ERR8269542,0.24,99.72,29802,7409780,ERR8269542.primertrimmed.consensus.fa,ERR8269542.mapped.primertrimmed.sorted.bam,TRUE
