taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
0b4464ce-7c48-47cd-b129-7b3c74dfcaf8,BA.1.1.1,0.0,,Omicron (BA.1-like),0.9,0.02,scorpio call: Alt alleles 53; Ref alleles 1; Amb alleles 2; Oth alleles 3,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.05,Usher placements: BA.1.1.1(1/1)
15839cca-e2f5-45dd-ad8c-9e1a21b9db17,AY.4.2,0.0,,Delta (AY.4.2-like),0.97,0.0,scorpio call: Alt alleles 34; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: AY.4.2(2/2)
1a83f89e-c1c4-4d73-86c1-2987ed5890d8,BA.1.17.2,0.0,,Omicron (BA.1-like),0.92,0.0,scorpio call: Alt alleles 54; Ref alleles 0; Amb alleles 2; Oth alleles 3,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: BA.1.17.2(1/1)
1ccf1f94-af45-4d01-aa52-31e9af1e228e,BA.1.17.2,0.0,,Omicron (BA.1-like),0.92,0.0,scorpio call: Alt alleles 54; Ref alleles 0; Amb alleles 2; Oth alleles 3,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: BA.1.17.2(1/1)
1e4abe0d-95d8-4659-a833-4440303ae75d,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(4/4)
2af2e34d-4895-430b-ba36-e93543e3f76c,AY.4,0.0,,Delta (AY.4-like),0.94,0.0,scorpio call: Alt alleles 30; Ref alleles 0; Amb alleles 2; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.07,Usher placements: AY.4(1/1)
33694881-295d-43df-a6db-a1081a62bbfe,AY.4,0.0,,Delta (AY.4-like),0.94,0.0,scorpio call: Alt alleles 30; Ref alleles 0; Amb alleles 2; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.03,Usher placements: AY.4(1/1)
33c0d334-27c0-4778-b1e0-3ff9749c0865,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PANGO-v1.8,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
341c1615-cb87-4264-8ea4-e07318c5c1cc,AY.43,0.0,,Delta (B.1.617.2-like),1.0,0.0,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.04,Usher placements: AY.43(1/1)
3c0e247e-c3af-4c17-bdee-e477c3d8d98a,AY.4,0.5,,Delta (AY.4-like),0.97,0.0,scorpio call: Alt alleles 31; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: AY.120(1/2) AY.4(1/2)
3d9d9661-338b-4cc9-918c-0209cefcb78a,AY.120,0.0,,Delta (B.1.617.2-like),1.0,0.0,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: AY.120(1/1)
