sample_name,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,fasta,bam,qc_pass
f5a49c2f-ff3d-4bc6-bd01-d17993869189,0.16,99.80,29803,2561174,ERR5465776.primertrimmed.consensus.fa,ERR5465776.mapped.primertrimmed.sorted.bam,TRUE
2dbd0604-46dc-453b-ac2c-d8764d39509b,0.15,99.83,29808,2824421,ERR5465779.primertrimmed.consensus.fa,ERR5465779.mapped.primertrimmed.sorted.bam,TRUE
6e7763e6-0203-4d27-bc77-6f4a56d8db1e,0.15,99.82,29808,2032157,ERR5465780.primertrimmed.consensus.fa,ERR5465780.mapped.primertrimmed.sorted.bam,TRUE
98f21c5c-f36f-4da5-98b8-1291d589d0e2,0.20,99.75,29793,1819090,ERR5465785.primertrimmed.consensus.fa,ERR5465785.mapped.primertrimmed.sorted.bam,TRUE
c75c6e62-28ee-46df-a2ef-08aac4402161,0.28,99.69,29802,1698616,ERR5465787.primertrimmed.consensus.fa,ERR5465787.mapped.primertrimmed.sorted.bam,TRUE
ab337b57-9eb8-40e1-93b2-41af7c2c6376,0.13,99.85,29816,2186397,ERR5465789.primertrimmed.consensus.fa,ERR5465789.mapped.primertrimmed.sorted.bam,TRUE
6d62e922-85ba-42d2-923d-463edd5e924c,0.23,99.72,29814,1488366,ERR5466036.primertrimmed.consensus.fa,ERR5466036.mapped.primertrimmed.sorted.bam,TRUE
35e3e0c5-23ec-4e5b-ad25-b981fe217d80,0.17,99.81,29802,3022225,ERR5466039.primertrimmed.consensus.fa,ERR5466039.mapped.primertrimmed.sorted.bam,TRUE
68557b2e-1e30-42bb-a04c-4fa356f3c284,0.32,99.65,29788,1666543,ERR5466041.primertrimmed.consensus.fa,ERR5466041.mapped.primertrimmed.sorted.bam,TRUE
364f6f80-3f9d-469b-9df5-aa7731568d30,0.20,99.76,29791,2075776,ERR5466043.primertrimmed.consensus.fa,ERR5466043.mapped.primertrimmed.sorted.bam,TRUE
d9ec979e-204e-4d86-b8f6-b10776b22686,0.69,99.31,22762,822885,ERR7150135.primertrimmed.consensus.fa,ERR7150135.mapped.primertrimmed.sorted.bam,TRUE
861dac71-3b2f-4219-80fe-b6f08b8952a0,0.39,99.59,22761,411014,ERR7150141.primertrimmed.consensus.fa,ERR7150141.mapped.primertrimmed.sorted.bam,TRUE
ae464f52-69ff-40d9-a38f-8b7e6a681773,1.71,98.27,21604,265622,ERR7150151.primertrimmed.consensus.fa,ERR7150151.mapped.primertrimmed.sorted.bam,TRUE
451b89f1-7a35-4d26-a795-bd398746749d,0.74,99.24,22762,804298,ERR7150152.primertrimmed.consensus.fa,ERR7150152.mapped.primertrimmed.sorted.bam,TRUE
8faed1fb-79a5-48f2-b12a-a4566098c29b,0.98,99.03,18346,346164,ERR7150154.primertrimmed.consensus.fa,ERR7150154.mapped.primertrimmed.sorted.bam,TRUE
d6553c06-abb2-42dd-8841-9d0d46f8e75c,2.44,97.49,10310,274102,ERR7150243.primertrimmed.consensus.fa,ERR7150243.mapped.primertrimmed.sorted.bam,TRUE
8a90b341-816b-4b24-aabe-627be6308700,2.05,97.92,21663,97882,ERR7150384.primertrimmed.consensus.fa,ERR7150384.mapped.primertrimmed.sorted.bam,TRUE
f1ec1dec-c5bd-4dbc-986f-970d04ffe05b,5.45,94.55,10332,664957,ERR7150388.primertrimmed.consensus.fa,ERR7150388.mapped.primertrimmed.sorted.bam,TRUE
222892c0-f9e3-437a-b3cf-7fd6f8608a3f,2.58,97.41,11674,485980,ERR7150390.primertrimmed.consensus.fa,ERR7150390.mapped.primertrimmed.sorted.bam,TRUE
4b76ede6-dda6-4ffd-8b43-0cbb79e7e4a7,0.34,99.65,22762,485294,ERR7150391.primertrimmed.consensus.fa,ERR7150391.mapped.primertrimmed.sorted.bam,TRUE
544c92ee-0f20-40aa-9599-34f9a976c371,0.29,99.66,29786,3966584,ERR8269258.primertrimmed.consensus.fa,ERR8269258.mapped.primertrimmed.sorted.bam,TRUE
2256664a-7d1b-41ef-a6f4-b19654424e7e,0.27,99.67,29787,3415002,ERR8269259.primertrimmed.consensus.fa,ERR8269259.mapped.primertrimmed.sorted.bam,TRUE
1159aae1-39fa-4ebf-8a78-7cfd090337ed,0.23,99.72,29804,3871324,ERR8269260.primertrimmed.consensus.fa,ERR8269260.mapped.primertrimmed.sorted.bam,TRUE
0c188900-b673-4106-83d3-c586ecf50e97,4.78,95.11,7277,654023,ERR8269268.primertrimmed.consensus.fa,ERR8269268.mapped.primertrimmed.sorted.bam,TRUE
c7155742-c04c-47c4-985c-eb4f2630718e,0.28,99.68,29789,5334954,ERR8269269.primertrimmed.consensus.fa,ERR8269269.mapped.primertrimmed.sorted.bam,TRUE
bd78a9f2-1265-4d8d-995a-11c8549d12c6,0.46,99.51,19500,2361460,ERR8269276.primertrimmed.consensus.fa,ERR8269276.mapped.primertrimmed.sorted.bam,TRUE
b36239f5-5357-490e-8aa7-985ef8ad60d0,1.91,98.02,9730,1216708,ERR8269277.primertrimmed.consensus.fa,ERR8269277.mapped.primertrimmed.sorted.bam,TRUE
cafe0c98-bc52-45ca-b964-e3865251a49c,0.30,99.65,29783,3207064,ERR8269541.primertrimmed.consensus.fa,ERR8269541.mapped.primertrimmed.sorted.bam,TRUE
5f122489-338b-4f88-9239-429d45a88823,0.24,99.72,29802,7409780,ERR8269542.primertrimmed.consensus.fa,ERR8269542.mapped.primertrimmed.sorted.bam,TRUE
